trigger_word,synonyms,response
heart attack,chest pain; myocardial infarction,"Heart attacks can have symptoms like chest pain, shortness of breath, and nausea. If you suspect a heart attack, seek medical help immediately."
blood pressure,hypertension; high blood pressure,"High blood pressure (hypertension) increases the risk of heart disease and stroke. It's important to monitor and manage it."
cholesterol,lipids; high cholesterol,"High cholesterol can lead to heart disease. It's important to maintain healthy levels through diet and medication if necessary."
exercise,physical activity; workout; gym,"Regular exercise is crucial for maintaining heart health. Aim for at least 30 minutes of moderate exercise most days of the week."
diet,nutrition; healthy eating; food,"A heart-healthy diet includes plenty of fruits, vegetables, whole grains, and lean proteins while limiting saturated fats, trans fats, and sodium."
smoking,tobacco; cigarettes; smoking cessation,"Smoking is a major risk factor for heart disease. Quitting smoking can significantly improve your heart health."
stress,anxiety; tension; relaxation,"Chronic stress may contribute to heart disease. Finding ways to manage stress, such as through relaxation techniques, can benefit your heart."
diabetes,blood sugar control; glucose; insulin,"Diabetes can increase the risk of heart disease. Managing blood sugar levels is essential for reducing this risk."
weight,obesity; overweight; weight loss,"Maintaining a healthy weight is important for heart health. Obesity can increase the risk of heart disease and other health conditions."
sleep,rest; insomnia; sleep quality,"Adequate sleep is vital for heart health. Aim for 7-9 hours of quality sleep per night to support overall well-being."
