keyword,response,category,sources
symptoms,"Common symptoms of heart disease in women include chest pain, shortness of breath, and nausea.",symptoms,https://www.heart.org/en/health-topics/heart-attack/warning-signs-of-a-heart-attack
prevention,"To prevent heart disease, maintain a healthy diet, exercise regularly, and avoid smoking.",prevention,https://www.cdc.gov/heartdisease/prevention.htm
treatment,"Treatments for heart disease may include lifestyle changes, medications, and possibly surgery.",treatment,https://www.mayoclinic.org/diseases-conditions/heart-disease/diagnosis-treatment/drc-20353118
diet,"A heart-healthy diet includes fruits, vegetables, whole grains, and lean proteins.",prevention,https://www.heart.org/en/healthy-living/healthy-eating
exercise,"Regular physical activity, such as brisk walking, can improve heart health.",prevention,https://www.cdc.gov/physicalactivity/basics/adults/index.htm
greeting,Hello! How can I assist you today?,greeting,
greeting,Good morning! How can I help you with women's heart health?,greeting,
greeting,Hi there! How can I assist you today?,greeting,
fallback,"I'm sorry, I didn't understand. Could you please clarify?",fallback,
fallback,"Apologies, I'm not sure how to help with that.",fallback,
goodbye,Thank you for chatting with me. Have a great day!,goodbye,
