trigger_words,synonyms,keywords,What,Why,How,Symptoms
heart_score,"this_test,assessment,heart_health_score","heart_duration,heart_meaning,heart_purpose,score_use,heart_reason","The Heart Score is an accurate, statistically backed assessment of your own risk of heart disease and just how immediate that concern may be. It is a self-assessment that helps us gather general information about the state of your heart. The information that you learn from the Heart Score, will then take you down the learning journey that will enable you to understand what steps you can take to improve on those factors that are able to be changed with lifestyle intervention.The Heart Score assessment should take about 20 minutes to complete.","The first Heart Score assessment helps provide us with a first benchmark or starting place. It also helps us adapt the MyAdesso experience to your needs. Over time we can begin to see whether both heart factors and your understanding of them continue to improve. ",We will ask you to re-take the Heart Score every six months and you will be able to review your heart score categories and how they have changed over time.,
privacy,"private_responses,confidential,secret,exclusive","privacy_answers,privacy_reasons,personal_details,my_marital_status,my_age,my_gender,my_ethnicity,MyAdesso_personal_details","You will be asked to consent for us to look at your data at the start of MyAdesso. If you are in the MyAdesso clinical program, your responses will be shared with your healthcare provider. Otherwise, your responses to your heart score assessment are kept completely private and confidential. It is HIPAA compliant and multiple security tools are used to protect your information and data.","Each question of our Heart Score assessment corresponds to research related to heart risk. Understanding these factors allows us to get a complete picture of the factors that may contribute to the state and risks of your heart. ","We may examine responses to the Heart Score data, anonymized, at an aggregate level periodically to research the impact of our programs with our participants.",
marital_status,"relationship_status,spousal_status,partnership,civil_status","marriage,married,marrying,marry,marital_impact,marital_affect,marital_status_affect,marital_status_health","Generally, heart research has shown that those who aren't partnered have as much as 42% increased risk of heart disease and that relational status and intimacy can positively influence heart health. This often goes back to the impact of lonliness, depression, and anxiety on the heart. A supportive relationship, like marriage, is associated with an improved cardiovascular status. ","While being either single or married doesn't guarantee an unhealthy or healthy heart, it's important to examine those factors as we assess various risks. ","Your MyAdesso journey will help you understand your risks and provide you with the knowledge, tools, motivations and habits to live your healthiest life and overcome these risks.",
gender,"sex,gender_type,gender_identity","gender_hidden,gender_MyAdesso,gender_ommission,gender_undisclosed,gender_not_disclosed",,"While MyAdesso supports the right of each individual to gender-identify however they desire, understanding biological factors related to your gender at birth, allows us to better assess your risks. We have provided an ""other"" category for those who wish to abstain from identifying gender at birth or for those who were intersex at birth. ",,
age,"years,life_stage,maturity,age_group","time,age_affect,lifespan,age_impact,stage","Heart risk increases with age, and especially as a women enters menopause. While younger women still can and do suffer from heart disease, the risk becomes more pronounced after age 55. ","As women age they experience more cardiovascular-related health concerns such as hypertension, high cholesterol, and weight gain. Menopause also plays a role. Before menopause, women have a natural protection from heart disease due to the presence of estrogen, a hormone that has heart-protective qualities. After menopause, estrogen levels drop, and the risk of heart disease rises.","As women grow older, other conditions that develop with age, such as diabetes, obesity, and inactivity, further increase the risk of heart disease. Thus, maintaining heart health through regular exercise, a balanced diet, and routine checkups becomes especially critical for older women.","As you age, you should be aware that symptoms of a heart attack may differ from those typically experienced by men. Women are more likely to have subtle symptoms like fatigue, shortness of breath, nausea, and jaw or back pain, rather than the classic chest pain."
ethnicity,"cultural_background,race,heritage","ethnicity_impact,ethnicity_risks,ethnicity_importance,ethinicity_affect","Research shows that certain races and ethnicities are at higher heart risk due to either biological and/or cultural factors.For instance, 56% of Black women have high blood pressure and almost 46% of Hispanic women have diabetes or are prediabetic, both of which conditions have a major impact on heart health. At the same time, you are not a statistic, you're a human being with your own choices. Your MyAdesso journey will help you understand your risks and provide you with the knowledge, tools, motivations and habits to live your healthiest life and overcome these risks.","Ethnicity affects heart health due to a variety of factors, including genetics, cultural differences, socioeconomic status, access to healthcare, and lifestyle choices. 

Here are a few examples of how ethnicity may interact with heart health:

Genetic Predisposition: Some ethnic groups have a higher genetic risk for certain conditions that contribute to heart disease, such as high blood pressure (hypertension), diabetes, and high cholesterol. For example, African Americans tend to have higher rates of hypertension, which increases the risk of heart disease and stroke.

Cultural and Dietary Practices: Different ethnic groups may have dietary traditions that influence heart health. Diets high in salt, fats, and sugars can contribute to risk factors like obesity, hypertension, and diabetes, all of which are linked to heart disease. For instance, certain cultural foods might be higher in sodium or unhealthy fats, increasing cardiovascular risks.

Socioeconomic Factors: Economic disparities often affect heart health. Ethnic minorities may be more likely to live in low-income areas with limited access to healthcare, nutritious foods, and safe environments for exercise. These factors contribute to higher rates of heart disease in certain communities, such as African American and Hispanic populations.

Healthcare Access and Quality: Ethnic minorities in the U.S. often face challenges in accessing quality healthcare, including preventive services, timely diagnoses, and treatments. These disparities in healthcare access can delay the identification and management of heart disease risk factors, leading to worse outcomes.

Stress and Social Determinants: Chronic stress related to experiences of discrimination, racism, and socio-economic challenges can affect heart health. Long-term exposure to stress can lead to elevated blood pressure, unhealthy coping mechanisms (e.g., smoking, poor diet), and increased inflammation, all of which are risk factors for heart disease.

Awareness and Education: Awareness of heart disease and its symptoms varies among different ethnic groups. For instance, heart disease is sometimes perceived as a ""man's disease,"" leading women in certain communities to overlook the symptoms or not prioritize their heart health.",,
smoking,"tobacco_use,cigarette,nicotine_consumption","smoking_impact,smoking_affect,harmful_cigarettes,cigarette_count,cigarette_limit,cigar,smoker,tobacco,smoke","Smoking is one of the greatest risk factors for heart disease.  It is especially damaging to the lining of the arteries, the endothelium, which protects the arteries from developing plaque. On average, smokers die 10 years earlier than those who don't. The good news is, the minute you stop smoking is the minute you begin fixing yourself! Your MyAdesso journey will help you understand your risks and provide you with the knowledge, tools, motivations and habits to live your healthiest life and overcome these risks.",,,
vapes,"vaping,e-cigarettes,electronic_cigarettes","vapes_risk,vapes_effect,vapes_impact,vapes_bad_health,vapes_harmful","Vaping is not a safe alernative to smoking. Vaping is deeply unhealthy and introduces toxins into your body that we are just beginning to understand the heart effects of. ",,,
alcohol,"beverages,drinking,liquor","alcohol_risk,alcohol_effects,drink_limit_drinking_rate,wine,alcohol_impact,harmful_drinks","Moderation is really the key to drinking alcohol. People who reported more frequent alcohol intake showed 31.5% more stretching of the heart wall. The recommended maximum amount is one drink for women and two for men; this is moderation. And let’s be careful with what “a drink” means. For example, a pint of beer is 16 ounces. But a single drink of beer is 12 oz. So with one pint and you’re already at a drink and half. Likewise, a single drink of wine is 4  oz. A 1.5 oz. of 80-proof spirits or 1 oz. of 100-proof spirits is a single drink. And if moderation is not an option for you, abstinence may be necessary in order to curb the negative effects of drinking on your heart.",,,
weight,"body_mass,heaviness,body_weight,BMI","weight_impact,size_effect,weight_factor,weight_influence,mass_affect,mass_impact,mass_related,heaviness_affect","Weight Is associated with diabetes, high cholesterol, and high blood pressure, the major risk factors for heart disease. Losing weight can have a significant impact on our health. Even losing 5-10% of your body weight can reduce the risk of cardiovascular disease and high blood pressure. Reducing calories to 1200-1500 calories per day for women and 1500-1800 calories per day for men, might be enough to lose weight over time. Your MyAdesso journey will help you understand how to reach your weight goals, and decrease your overall risks as we provide you with the knowledge, tools, motivations and habits to live your healthiest life.",,,
